Episode,Timestep,State,Action,Human_Reward,Environment_Reward,Learning_Mode,Update_Type,TD_Target,Model_Error
1,359,[-0.5925454   0.01728691],1,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.898716867011277,0.38653786522379363
1,360,[-0.57474506  0.01780033],1,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.8914882702305125,0.37444833320759807
1,361,[-0.5565626   0.01818242],2,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.793133759800398,0.34463691407590424
1,362,[-0.5371334   0.01942925],0,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.867666307557506,0.43744696441012265
1,363,[-0.5186026   0.01853073],2,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.795169596398667,0.3470082453707555
1,364,[-0.4991094   0.01949326],0,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.889244556137978,0.4372138603733964
1,365,[-0.48079962  0.01830976],1,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.878263727201824,0.39216104458092316
1,366,[-0.46280998  0.01798964],2,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.795083345380485,0.35092316425086434
1,367,[-0.4442737   0.01853625],1,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.8148368423681855,0.39511626140035316
1,368,[-0.4263268   0.01794691],2,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.732319459101408,0.3555368822201008
1,369,[-0.4080991   0.01822768],0,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.824485105272757,0.44046851079455696
1,370,[-0.39172044  0.01637867],1,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.84070756485667,0.3991942900869976
1,371,[-0.37630528  0.01541518],2,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.77047136019175,0.3638106459607857
1,372,[-0.3609592   0.01534608],0,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.8800608713160205,0.4398277462457494
1,373,[-0.3477851   0.01317411],2,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.825867730348548,0.37029415547395095
1,374,[-0.3348693  0.0129158],1,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.843588498867007,0.4056924913518247
1,375,[-0.32329452  0.01157475],2,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.8298964296979525,0.3766278818666797
1,376,[-0.31213328  0.01116126],0,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.905193718490599,0.4324842598284695
1,377,[-0.30345374  0.00867953],1,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.920275796744345,0.4047727833771204
1,378,[-0.29630786  0.00714588],2,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.924592329005173,0.38519304084410333
1,379,[-0.28973758  0.00657026],1,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.951391580423508,0.40352157463763794
1,380,[-0.2847809   0.00495669],0,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.991087093853048,0.4131291631002454
1,381,[-0.282466    0.00231491],2,0,-1.0,hybrid,Hybrid_TD_Supervised,-5.00662278250998,0.3928637345159731
1,382,[-0.28080592  0.00166007],0,0,-1.0,hybrid,Hybrid_TD_Supervised,-5.036251456174608,0.3981157339976047
1,383,[-0.28181002 -0.00100408],1,0,-1.0,hybrid,Hybrid_TD_Supervised,-5.043192024161841,0.39725314041007387
1,384,[-0.2844726  -0.00266261],2,0,-1.0,hybrid,Hybrid_TD_Supervised,-5.082192130115407,0.399486827786554
1,385,[-0.28777876 -0.00330614],1,0,-1.0,hybrid,Hybrid_TD_Supervised,-5.0984932935493825,0.3939435692801272
1,386,[-0.29270965 -0.0049309 ],0,0,-1.0,hybrid,Hybrid_TD_Supervised,-5.077522984843283,0.37946293073015
1,387,[-0.30023703 -0.00752738],2,0,-1.0,hybrid,Hybrid_TD_Supervised,-5.130288844212432,0.4047866681344807
1,388,[-0.30831704 -0.00808001],0,0,-1.0,hybrid,Hybrid_TD_Supervised,-5.09000399877276,0.3670323826383699
1,389,[-0.31890175 -0.0105847 ],1,0,-1.0,hybrid,Hybrid_TD_Supervised,-5.084129830936243,0.3861359292692699
1,390,[-0.33092698 -0.01202524],0,0,-1.0,hybrid,Hybrid_TD_Supervised,-5.035600267051392,0.3546569354801843
1,391,[-0.34531814 -0.01439114],2,0,-1.0,hybrid,Hybrid_TD_Supervised,-5.092823633814625,0.4139071790294624
1,392,[-0.35998353 -0.01466541],1,0,-1.0,hybrid,Hybrid_TD_Supervised,-5.0774230744592055,0.3835708914003093
1,393,[-0.37582737 -0.01584384],0,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.993795895762776,0.3477664151855846
1,394,[-0.39374354 -0.01791617],0,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.938408582567812,0.3491197295592361
1,395,[-0.41360918 -0.01986564],1,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.941916291821103,0.39181762262360964
1,396,[-0.43428487 -0.02067568],2,0,-1.0,hybrid,Hybrid_TD_Supervised,-5.020315573177952,0.4304644636077444
1,397,[-0.45462242 -0.02033754],2,0,-1.0,hybrid,Hybrid_TD_Supervised,-5.085030847675343,0.40379439347167967
1,398,[-0.4744736  -0.01985118],0,0,-1.0,hybrid,Hybrid_TD_Supervised,-5.006231674139163,0.3530996014509795
1,399,[-0.49569187 -0.02121829],0,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.9661082447119025,0.35567660664886347
1,400,[-0.5181192  -0.02242735],1,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.968807221022352,0.39477199503524485
1,401,[-0.54058766 -0.02246844],0,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.9195934275255,0.3558672419652624
1,402,[-0.5639287  -0.02334108],1,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.923915682021537,0.3914590269597902
1,403,[-0.58696806 -0.02303934],1,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.9249943604226,0.37583779637617276
1,404,[-0.60953504 -0.02256693],0,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.835039264227258,0.3517331266280497
1,405,[-0.6324645  -0.02292953],2,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.8881751342690904,0.42197990500941174
1,406,[-0.653592   -0.02112747],0,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.820258188204446,0.351732393650952
1,407,[-0.67476904 -0.02117705],2,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.890750468192506,0.4235492192879584
1,408,[-0.6938508  -0.01908173],0,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.817459010316808,0.3575053206461267
1,409,[-0.71271044 -0.01885964],1,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.816292027673094,0.39610534188949353
1,410,[-0.73022664 -0.01751618],0,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.775685391111006,0.3664138837162749
1,411,[-0.74729043 -0.01706383],2,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.851202551947226,0.4344395185475456
1,412,[-0.7617997  -0.01450926],1,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.871718837993207,0.4052799160181806
1,413,[-0.77467066 -0.01287096],0,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.8433604599149644,0.38027548117376586
1,414,[-0.7868316  -0.01216099],2,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.934784171827728,0.4294325928149312
1,415,[-0.79621726 -0.00938564],0,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.914126767840006,0.3861243461159356
1,416,[-0.8047787  -0.00856144],1,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.93949090512086,0.4062953021363471
1,417,[-0.81147265 -0.00669393],0,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.953506914766196,0.3899700660754988
1,418,[-0.8172661  -0.00579343],2,0,-1.0,hybrid,Hybrid_TD_Supervised,-5.003528128349327,0.414306381366659
1,419,[-0.82013106 -0.00286499],1,0,-1.0,hybrid,Hybrid_TD_Supervised,-5.019902737973762,0.4015670800177733
1,420,[-0.82105404 -0.00092294],0,0,-1.0,hybrid,Hybrid_TD_Supervised,-5.033419703599721,0.39533986318395176
1,421,[-8.2103056e-01  2.3451956e-05],2,0,-1.0,hybrid,Hybrid_TD_Supervised,-5.069030443186441,0.39747047989333373
1,422,[-0.8180608   0.00296974],1,0,-1.0,hybrid,Hybrid_TD_Supervised,-5.077213777896831,0.3952031459865961
1,423,[-0.81315887  0.00490197],0,0,-1.0,hybrid,Hybrid_TD_Supervised,-5.094638102750339,0.4004007619302188
1,424,[-0.8073482   0.00581066],2,0,-1.0,hybrid,Hybrid_TD_Supervised,-5.100929410047717,0.37863155286237893
1,425,[-0.7986573   0.00869092],1,0,-1.0,hybrid,Hybrid_TD_Supervised,-5.0986437107039855,0.3878918646689473
1,426,[-0.7881297   0.01052759],0,0,-1.0,hybrid,Hybrid_TD_Supervised,-5.128927908515249,0.4061610411510932
1,427,[-0.7768199   0.01130978],2,0,-1.0,hybrid,Hybrid_TD_Supervised,-5.089277724460455,0.3583849699498627
1,428,[-0.7627884   0.01403147],1,0,-1.0,hybrid,Hybrid_TD_Supervised,-5.074943264297896,0.38044186395367463
1,429,[-0.74711305  0.01567536],0,0,-1.0,hybrid,Hybrid_TD_Supervised,-5.122782951486288,0.4117110200256766
1,430,[-0.7308842   0.01622889],2,0,-1.0,hybrid,Hybrid_TD_Supervised,-5.03055175144609,0.33966545659874736
1,431,[-0.7121989   0.01868525],1,0,-1.0,hybrid,Hybrid_TD_Supervised,-5.008121930248793,0.37554006035616094
1,432,[-0.6921734   0.02002548],2,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.901227568807162,0.3321031381184656
1,433,[-0.66993684  0.02223658],0,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.960900529995612,0.42455087329387764
1,434,[-0.64763767  0.0222992 ],1,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.937153769248549,0.3782444930544835
1,435,[-0.62442946  0.02320817],2,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.824116057781496,0.33390307797134566
1,436,[-0.5994766   0.02495292],1,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.824172007418134,0.3859489466778325
1,437,[-0.57395947  0.0255171 ],0,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.90292889501215,0.4363425988264651
1,438,[-0.54906607  0.02489338],2,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.791397645215694,0.34152571996987335
1,439,[-0.5229819   0.02608419],2,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.715602220196381,0.3448762587203458
1,440,[-0.49590233  0.02707957],1,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.700602187549566,0.3947209778819507
1,441,[-0.46903023  0.02687208],0,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.806141217334906,0.43903274697460626
1,442,[-0.4435656   0.02546464],2,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.701688805889251,0.34761218329467525
1,443,[-0.41769546  0.02587015],1,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.683511347665592,0.3918953019014486
1,444,[-0.3926063   0.02508917],2,0,-1.0,hybrid,Hybrid_TD_Supervised,-4.610549456190607,0.3507045526809873
